#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;;;
pregnant_death;giving birth;en couches;;;;;;;;;;;;x
#DEATH_BY_NATURE;of (seemingly) natural causes;de cause (apparemment) naturelle;;;;;;;;;;;;x
#DEATH_UNKNOWN;in mysterious circumnstances;dans de mystérieuses circonstances;;;;;;;;;;;;x
#wounded_death;suffering from lethal wounds;de blessures mortelles;;;;;;;;;;;;x
#AI_EVENT;AI_EVENT;AI_EVENT;AI_EVENT;;AI_EVENT;;;;;;;;;;;x
#EVTNAME1059008;Pillaging;Pillant;Plünderung;;;;;;;;;;x;;;;
#EVTDESC1059008;Sieges could drag on for months and even years, and the besieging troops had to forage the countryside for supplies. These foraging parties could sometimes devolve into looting and outright vandalism. This was the case in [Root.Location.GetName], where our troops have have pillaged and torched one of the province's buildings.;Sieges could drag on for months and even years, and the besieging troops had to forage the countryside for supplies. These foraging parties could sometimes devolve into looting and outright vandalism. This was the case in [Root.Location.GetName], where our troops have have pillaged and torched one of the province's buildings.;Belagerungen konnten sich über Monate und sogar Jahre hinziehen, und die belagernden Truppen mussten sich aus der Umgebung selbst versorgen. Diese Suche führte manchmal auch zu Plünderungen und Vandalismus. Dies war der Fall in [Root.Location.GetName], wo unsere Truppen geplündert und ein Gebäude in Brand gesteckt haben.;;;;;;;;;;x;;;;
#EVTOPTA1059008;It can't be helped;It can't be helped;Es konnte nicht geholfen werden;;;;;;;;;;x;;;;
#EVTTOOLTIP1000025003;A building goes up in flames;Un bâtiment part en fumée;Ein Gebäude geht in Flammen auf;;;;;;;;;;x;;;;
#EVTTOOLTIP1059009;A building goes up in flames;Un bâtiment est réduit en cendres;Ein Gebäude geht in Flammen auf;;;;;;;;;;x;;;;
#EVTDESC1059009;The besieging troops have destroyed a building in [From.Location.GetName]!;Les troupes de l'assiégeant ont détruit un bâtiment en [From.Location.GetName]!;Die belagernden Truppen haben ein Gebäude in [From.Location.GetName] zerstört!;;;;;;;;;;x;;;;
#EVTOPTA1059009;Bastards!;Bâtards ! ;Bastarde!;;;;;;;;;;x;;;;
#EVTDESC190087;A storm has struck my fleet! Scores of soldiers and at least one of my commanders have been drowned by the raging waters.;A storm has struck my fleet! Scores of soldiers and at least one of my commanders have been drowned by the raging waters.;Ein Sturm hat meine Flotte geschlagen! Zahlreiche Soldaten und mindestens einer meiner Befehlshabern wurden von dem tobenden Wasser ertrunken.;;;;;;;;;;;x;;;
#EVTOPTA190087;Disaster!;Quel désastre! ;Katastrophe!;;;;;;;;;;;x;;;